DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG33,2022,85.39,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG33,2023,86.52,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG34,2012,49.64,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG34,2013,46.54,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG34,2014,52.30,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG34,2015,58.64,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG34,2016,60.85,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG34,2017,62.12,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG34,2018,69.97,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG34,2019,74.73,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG34,2020,77.24,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG34,2021,81.73,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG34,2022,84.92,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG34,2023,87.49,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG41,2012,59.31,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG41,2013,64.28,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG41,2014,63.68,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG41,2015,67.75,
ESTAT:TGS00047(1.0),13/03/24 11:00:00,A,PC_HH,BG41,2016,64.89,
